,logFC,AveExpr,t,P.Value,adj.P.Val,B
ADH6,0.201851068,5.147517626,2.929330261,0.006024551,0.057759192,-2.585497095
IL23R,0.178360382,4.990802056,2.920900764,0.006155904,0.058707887,-2.605106511
TMEM45B,0.169692717,5.018193851,2.917993382,0.00620183,0.058836207,-2.611862236
PHF6,0.422104009,6.169497646,2.912974385,0.006281869,0.059285142,-2.623515314
DUOX1,0.229645378,5.095160538,2.9058655,0.0063969,0.060057939,-2.640000494
C8B,0.177116124,5.246862575,2.895795509,0.006563235,0.061131739,-2.663311677
STMN1,0.650974802,9.431369699,2.89486866,0.006578747,0.061131739,-2.665454852
CTSH,-0.541828252,5.75811228,-2.88797307,0.006695238,0.061896796,-2.681386919
TLR3,0.232513393,4.991804523,2.885477817,0.006737867,0.061974699,-2.687146579
DKK4,0.209406248,5.22435264,2.875280273,0.006914744,0.063280381,-2.710654241
HCK,-0.317631811,5.229268052,-2.869735679,0.007012733,0.063854635,-2.72341497
COL2A1,0.159163369,5.038676882,2.861561105,0.007159579,0.064865788,-2.742201658
MRPL19,0.270766394,6.378590765,2.854381019,0.007290933,0.065660359,-2.75867632
SMARCB1,0.467500923,7.123039346,2.852821881,0.007319753,0.065660359,-2.762250469
INPP5D,-0.254912044,5.366599723,-2.847057058,0.007427243,0.066296372,-2.775455463
C2,-0.331115593,5.098157365,-2.833971983,0.007676733,0.06818745,-2.805368507
POLB,0.285070126,5.924182749,2.829925774,0.007755455,0.068471233,-2.814601432
TNFRSF1A,-0.36799628,6.021383434,-2.828454963,0.007784257,0.068471233,-2.81795565
FZD2,0.147152438,5.185351565,2.82011288,0.00794952,0.069587099,-2.836959913
YTHDF2,0.169223953,6.969682331,2.814259851,0.008067424,0.069936126,-2.850273409
CCNA2,0.387939914,6.486638528,2.810038698,0.008153469,0.069936126,-2.85986451
LDHA,0.268713282,5.524231652,2.809409185,0.008166374,0.069936126,-2.861294106
NDUFB11,0.379360425,6.716128781,2.8073363,0.008209004,0.069936126,-2.866000151
PSMB7,0.453438996,7.84493661,2.806394411,0.008228443,0.069936126,-2.868137808
MAPK8IP2,0.263733947,5.790117763,2.80622835,0.008231875,0.069936126,-2.868514643
LILRB3,-0.271777094,4.908428873,-2.802196933,0.008315596,0.069936126,-2.87765882
FGF11,0.207303016,5.447263583,2.802034653,0.008318983,0.069936126,-2.878026739
CD244,0.180195025,5.3136744,2.801183998,0.008336757,0.069936126,-2.879955123
ELOB,0.361162786,7.493485259,2.790501383,0.008563003,0.071300532,-2.904141343
NKD1,0.274665564,5.266439601,2.789798007,0.008578099,0.071300532,-2.905731843
NSD3,0.184800855,6.750300819,2.784558934,0.008691326,0.071911793,-2.917570862
PTGER4,-0.196535839,5.433439382,-2.779346668,0.008805356,0.072245928,-2.929335679
TGFBR2,-0.358293323,5.655957989,-2.777982526,0.008835429,0.072245928,-2.932412492
SSX4,0.271540834,5.246457643,2.776108716,0.008876895,0.072245928,-2.936637333
OTC,0.261979728,5.194097475,2.775464465,0.008891193,0.072245928,-2.938089505
FANCC,0.237950825,6.090120541,2.766959697,0.009081972,0.073466663,-2.957240074
BMP5,0.137179248,5.183212678,2.762111577,0.009192425,0.074029663,-2.968140477
ETS1,-0.305638738,5.831792299,-2.753018522,0.009402973,0.075268658,-2.988553007
UQCR10,0.375017701,6.405084366,2.749262206,0.009491253,0.075268658,-2.996973112
C4BPA,0.146465124,5.087154829,2.748506081,0.009509117,0.075268658,-2.998667164
UBE2C,0.781645384,7.604190989,2.747209344,0.009539825,0.075268658,-3.001571743
ALKBH3,0.191178031,5.764553973,2.74404059,0.009615254,0.075268658,-3.008665876
PAX8,0.182576412,5.132061633,2.742870143,0.009643255,0.075268658,-3.011284948
TXNIP,-0.575850606,7.664930782,-2.741839476,0.009667976,0.075268658,-3.01359066
PRF1,-0.312484824,5.141375666,-2.741397858,0.009678586,0.075268658,-3.014578443
OAS2,-0.334687285,5.049051022,-2.737006768,0.009784675,0.07567575,-3.024394701
PRDM1,-0.279366489,5.101669113,-2.735781919,0.00981446,0.07567575,-3.027131085
CST2,0.351608413,5.538974879,2.731896306,0.009909506,0.076084854,-3.035806675
TNKS,0.188139629,6.538669468,2.725555289,0.010066455,0.076963786,-3.049947903
VEGFB,0.218127393,6.821511697,2.701137821,0.010692656,0.081407952,-3.104207746
BRAF,0.245789726,5.585835459,2.698571825,0.010760522,0.081581865,-3.109891849
FGF12,0.374121715,6.115806547,2.69539751,0.01084503,0.081644366,-3.116918719
ARG1,0.277236248,5.411118498,2.694448206,0.010870422,0.081644366,-3.119019139
IFNGR1,-0.353993674,5.827029245,-2.693198326,0.010903938,0.081644366,-3.121783889
PASD1,0.220560294,5.237072096,2.689841041,0.010994441,0.081983241,-3.129206197
PECAM1,-0.557258004,5.316554385,-2.685898559,0.011101609,0.082443095,-3.137914719
MBNL3,0.61393501,6.095049545,2.68244028,0.011196411,0.082630676,-3.145546966
CD5,0.245139572,5.606879367,2.67957917,0.01127541,0.082630676,-3.151856536
FANCF,0.437544476,6.197626616,2.678719915,0.011299236,0.082630676,-3.153750601
SMC1B,0.186830935,5.159839863,2.676330083,0.011365748,0.082630676,-3.159016479
IL1A,0.20857862,5.46605207,2.675220746,0.011396746,0.082630676,-3.161459823
WNT5B,0.202139654,5.233514191,2.675087316,0.01140048,0.082630676,-3.161753664
CCNA1,0.513328629,5.649536161,2.669471658,0.011558648,0.083443307,-3.174111937
C9,0.234294417,5.201914302,2.665615934,0.011668421,0.083901506,-3.182587493
CRP,0.263676635,5.293499729,2.662796738,0.011749295,0.084149101,-3.188779588
BATF3,0.203948662,5.465915034,2.660821132,0.011806278,0.084224312,-3.193116304
SMC1A,0.233431637,7.33606606,2.653820132,0.012010275,0.085221788,-3.208467703
CDK4,0.299861065,6.995715742,2.652803629,0.012040164,0.085221788,-3.210694462
ZEB2,-0.233797205,6.196680326,-2.644298239,0.012292966,0.085956568,-3.2293048
FADD,0.178080614,5.864565018,2.643697363,0.01231101,0.085956568,-3.230618089
ETV1,0.338176488,5.698005032,2.642091463,0.012359354,0.085956568,-3.23412704
LEPR,-0.149940412,4.90409976,-2.641540361,0.012375985,0.085956568,-3.235330898
CCL3/L1,-0.77194045,5.655819259,-2.641368984,0.012381161,0.085956568,-3.235705231
FGF22,0.287917174,5.389126489,2.638233157,0.012476225,0.08628595,-3.242551919
STAT2,-0.393389711,6.709762146,-2.634901309,0.012577969,0.086342897,-3.249820805
ZBTB16,0.185253932,5.283976493,2.634842902,0.01257976,0.086342897,-3.249948175
CEP55,0.371739538,5.513190646,2.629932764,0.01273112,0.086906082,-3.26064927
MPO,0.201296543,5.393161651,2.627732835,0.012799479,0.086906082,-3.265439552
CD2,-0.236531782,5.42046044,-2.624034265,0.012915171,0.086906082,-3.273487188
MAGEA3/A6,0.246833305,5.656965111,2.621958405,0.012980527,0.086906082,-3.278000764
HLA-DOA,-0.181471111,5.30197468,-2.619605854,0.013054964,0.086906082,-3.283113132
GIMAP6,-0.213708009,5.148185228,-2.618751143,0.013082105,0.086906082,-3.284969777
WNT10B,0.222065248,5.309143628,2.617922055,0.013108482,0.086906082,-3.286770383
VCAN,-0.420783553,5.874183363,-2.617111009,0.013134333,0.086906082,-3.288531445
SIN3A,0.18113102,7.008975774,2.616122579,0.013165901,0.086906082,-3.290677185
EHHADH,0.266802656,5.561712599,2.61598484,0.013170306,0.086906082,-3.290976157
POU2F2,-0.208468599,5.260382559,-2.614796556,0.013208362,0.086906082,-3.293554961
MAGEC2,0.228881195,5.252188121,2.613893506,0.01323735,0.086906082,-3.29551424
GSK3B,0.392719605,6.729869,2.605264777,0.013517316,0.088240367,-3.314212956
